"Chimp","Partner","Condition","Session","Trial_New","nr","Food","Subject_1","Partner_2","Subject_3","Strong_Evidence_Subject","Strong_Evidence_Partner"
"Baluku","Rambo","Subject +, Partner +",4,"Filler_PE4",9,"Front",NA,"Front","Back",NA,"Front"
"Baluku","Rambo","Subject +, Partner +",4,"Trial_1",9,"Front","Front","Back","Back","Front","Back"
"Baluku","Rambo","Subject +, Partner +",4,"Trial_2",9,"Front","Front","Back","Back","Front","Back"
"Baluku","Rambo","Subject +, Partner +",4,"Trial_3",9,"Back","Back","Front","Back","Back","Front"
"Baluku","Rambo","Subject +, Partner +",4,"Trial_4",9,"Back","Back","Front","Back","Back","Front"
"Baluku","Rambo","Subject +, Partner +",4,"Trial_5",9,"Front","Back","Front","Back","Front","Back"
"Baluku","Rambo","Subject +, Partner +",4,"Trial_6",9,"Back","Back","Front","Back","Back","Front"
"Baluku","Rambo","Subject +, Partner +",4,"Trial_7",9,"Back","Back","Front","Back","Back","Front"
"Baluku","Rambo","Subject +, Partner +",4,"Trial_8",9,"Front","Front","Back","Front","Front","Back"
"Baluku","Rambo","Subject +, Partner -",3,"Filler_PC1",9,"Front",NA,"Front",NA,NA,"Front"
"Baluku","Rambo","Subject +, Partner -",3,"Filler_PC2",9,"Back",NA,"Back",NA,NA,"Back"
"Baluku","Rambo","Subject +, Partner -",3,"Filler_PC3",9,"Front",NA,"Front",NA,NA,"Front"
"Baluku","Rambo","Subject +, Partner -",3,"Filler_PC4",9,"Back",NA,"Back",NA,NA,"Back"
"Baluku","Rambo","Subject +, Partner -",3,"Filler_PE1",9,"Back",NA,"Back","Back",NA,"Back"
"Baluku","Rambo","Subject +, Partner -",3,"Filler_PE2",9,"Back",NA,"Back","Back",NA,"Back"
"Baluku","Rambo","Subject +, Partner -",3,"Filler_PE3",9,"Back",NA,"Back","Back",NA,"Back"
"Baluku","Rambo","Subject +, Partner -",3,"Filler_PE4",9,"Front",NA,"Front","Back",NA,"Front"
"Baluku","Rambo","Subject +, Partner -",3,"Trial_1",9,"Front","Front","Back","Front","Front","None"
"Baluku","Rambo","Subject +, Partner -",3,"Trial_2",9,"Front","Front","Back","Front","Front","None"
"Baluku","Rambo","Subject +, Partner -",3,"Trial_3",9,"Back","Back","Front","Back","Back","None"
"Baluku","Rambo","Subject +, Partner -",3,"Trial_4",9,"Back","Back","Front","Back","Back","None"
"Baluku","Rambo","Subject +, Partner -",3,"Trial_5",9,"Front","Front","Back","Front","Front","None"
"Baluku","Rambo","Subject +, Partner -",3,"Trial_6",9,"Back","Back","Front","Back","Back","None"
"Baluku","Rambo","Subject +, Partner -",3,"Trial_7",9,"Back","Back","Front","Back","Back","None"
"Baluku","Rambo","Subject +, Partner -",3,"Trial_8",9,"Front","Front","Back","Front","Front","None"
"Baluku","Rambo","Subject -, Partner +",1,"Filler_PC1",9,"Back",NA,"Back",NA,NA,"Back"
"Baluku","Rambo","Subject -, Partner +",1,"Filler_PC2",9,"Back",NA,"Back",NA,NA,"Back"
"Baluku","Rambo","Subject -, Partner +",1,"Filler_PC3",9,"Back",NA,"Back",NA,NA,"Back"
"Baluku","Rambo","Subject -, Partner +",1,"Filler_PC4",9,"Front",NA,"Front",NA,NA,"Front"
"Baluku","Rambo","Subject -, Partner +",1,"Filler_PE1",9,"Front",NA,"Front","Back",NA,"Front"
"Baluku","Rambo","Subject -, Partner +",1,"Filler_PE2",9,"Front",NA,"Front","Back",NA,"Front"
"Baluku","Rambo","Subject -, Partner +",1,"Filler_PE3",9,"Front",NA,"Front","Back",NA,"Front"
"Baluku","Rambo","Subject -, Partner +",1,"Filler_PE4",9,"Back",NA,"Back","Front",NA,"Back"
"Baluku","Rambo","Subject -, Partner +",1,"Trial_1",9,"Front","Back","Front","Back","None","Front"
"Baluku","Rambo","Subject -, Partner +",1,"Trial_2",9,"Back","Front","Back","Back","None","Back"
"Baluku","Rambo","Subject -, Partner +",1,"Trial_3",9,"Front","Back","Front","Back","None","Front"
"Baluku","Rambo","Subject -, Partner +",1,"Trial_4",9,"Back","Front","Back","Back","None","Back"
"Baluku","Rambo","Subject -, Partner +",1,"Trial_5",9,"Front","Back","Front","Back","None","Front"
"Baluku","Rambo","Subject -, Partner +",1,"Trial_6",9,"Front","Back","Front","Back","None","Front"
"Baluku","Rambo","Subject -, Partner +",1,"Trial_7",9,"Front","Back","Front","Back","None","Front"
"Baluku","Rambo","Subject -, Partner +",1,"Trial_8",9,"Front","Back","Front","Back","None","Front"
"Baluku","Rutoto","Subject -, Partner -",2,"Filler_PC1",9,"Front",NA,"Front",NA,NA,"Front"
"Baluku","Rutoto","Subject -, Partner -",2,"Filler_PC2",9,"Back",NA,"Front",NA,NA,"Back"
"Baluku","Rutoto","Subject -, Partner -",2,"Filler_PC3",9,"Front",NA,"Front",NA,NA,"Front"
"Baluku","Rutoto","Subject -, Partner -",2,"Filler_PC4",9,"Back",NA,"Back",NA,NA,"Back"
"Baluku","Rutoto","Subject -, Partner -",2,"Filler_PE1",9,"Front",NA,"Front","Back",NA,"Front"
"Baluku","Rutoto","Subject -, Partner -",2,"Filler_PE2",9,"Front",NA,"Front","Back",NA,"Front"
"Baluku","Rutoto","Subject -, Partner -",2,"Filler_PE3",9,"Back",NA,"Back","Back",NA,"Back"
"Baluku","Rutoto","Subject -, Partner -",2,"Filler_PE4",9,"Back",NA,"Back","Front",NA,"Back"
"Baluku","Rutoto","Subject -, Partner -",2,"Trial_1",9,"Front","Back","Front","Back","None","None"
"Baluku","Rutoto","Subject -, Partner -",2,"Trial_2",9,NA,"Back","Front","Back","None","None"
"Baluku","Rutoto","Subject -, Partner -",2,"Trial_3",9,"Front","Back","Front","Back","None","None"
"Baluku","Rutoto","Subject -, Partner -",2,"Trial_4",9,NA,"Back","Front","Back","None","None"
"Baluku","Rutoto","Subject -, Partner -",2,"Trial_5",9,NA,"Back","Front","Back","None","None"
"Baluku","Rutoto","Subject -, Partner -",2,"Trial_6",9,"Front","Back","Front","Back","None","None"
"Baluku","Rutoto","Subject -, Partner -",2,"Trial_7",9,"Front","Back","Front","Back","None","None"
"Baluku","Rutoto","Subject -, Partner -",2,"Trial_8",9,NA,"Front","Back","Front","None","None"
"Becky","Namukisa","Subject +, Partner +",4,"Filler_PC1",12,"Back",NA,"Back",NA,NA,"Back"
"Becky","Namukisa","Subject +, Partner +",4,"Filler_PC2",12,"Back",NA,"Back",NA,NA,"Back"
"Becky","Namukisa","Subject +, Partner +",4,"Filler_PC3",12,"Back",NA,"Back",NA,NA,"Back"
"Becky","Namukisa","Subject +, Partner +",4,"Filler_PC4",12,"Back",NA,"Back",NA,NA,"Back"
"Becky","Namukisa","Subject +, Partner +",4,"Filler_PE1",12,"Front",NA,"Front","Front",NA,"Front"
"Becky","Namukisa","Subject +, Partner +",4,"Filler_PE2",12,"Front",NA,"Front","Back",NA,"Front"
"Becky","Namukisa","Subject +, Partner +",4,"Filler_PE3",12,"Front",NA,"Front","Front",NA,"Front"
"Becky","Namukisa","Subject +, Partner +",4,"Filler_PE4",12,"Back",NA,"Back","Front",NA,"Back"
"Becky","Namukisa","Subject +, Partner +",4,"Trial_1",12,"Back","Back","Front","Back","Back","Front"
"Becky","Namukisa","Subject +, Partner +",4,"Trial_2",12,"Back","Back","Front","Back","Back","Front"
"Becky","Namukisa","Subject +, Partner +",4,"Trial_3",12,"Front","Front","Back","Front","Front","Back"
"Becky","Namukisa","Subject +, Partner +",4,"Trial_4",12,"Front","Front","Back","Front","Front","Back"
"Becky","Namukisa","Subject +, Partner +",4,"Trial_5",12,"Back","Back","Front","Back","Back","Front"
"Becky","Namukisa","Subject +, Partner +",4,"Trial_6",12,"Front","Front","Back","Front","Front","Back"
"Becky","Namukisa","Subject +, Partner +",4,"Trial_7",12,"Front","Front","Back","Front","Front","Back"
"Becky","Namukisa","Subject +, Partner +",4,"Trial_8",12,"Back","Back","Front","Back","Back","Front"
"Becky","Namukisa","Subject +, Partner -",1,"Filler_PC1",12,"Front",NA,"Front",NA,NA,"Front"
"Becky","Namukisa","Subject +, Partner -",1,"Filler_PC2",12,"Back",NA,"Back",NA,NA,"Back"
"Becky","Namukisa","Subject +, Partner -",1,"Filler_PC3",12,"Front",NA,"Front",NA,NA,"Front"
"Becky","Namukisa","Subject +, Partner -",1,"Filler_PC4",12,"Back",NA,"Back",NA,NA,"Back"
"Becky","Namukisa","Subject +, Partner -",1,"Filler_PE1",12,"Back",NA,"Back","Back",NA,"Back"
"Becky","Namukisa","Subject +, Partner -",1,"Filler_PE2",12,"Front",NA,"Front","Front",NA,"Front"
"Becky","Namukisa","Subject +, Partner -",1,"Filler_PE3",12,"Back",NA,"Back","Back",NA,"Back"
"Becky","Namukisa","Subject +, Partner -",1,"Filler_PE4",12,"Front",NA,"Front","Front",NA,"Front"
"Becky","Namukisa","Subject +, Partner -",1,"Trial_1",12,"Front","Front","Back","Front","Front","None"
"Becky","Namukisa","Subject +, Partner -",1,"Trial_2",12,"Front","Front","Back","Front","Front","None"
"Becky","Namukisa","Subject +, Partner -",1,"Trial_3",12,"Back","Back","Front","Back","Back","None"
"Becky","Namukisa","Subject +, Partner -",1,"Trial_4",12,"Back","Back","Front","Back","Back","None"
"Becky","Namukisa","Subject +, Partner -",1,"Trial_5",12,"Front","Front","Back","Front","Front","None"
"Becky","Namukisa","Subject +, Partner -",1,"Trial_6",12,"Back","Back","Front","Back","Back","None"
"Becky","Namukisa","Subject +, Partner -",1,"Trial_7",12,"Back","Back","Front","Back","Back","None"
"Becky","Namukisa","Subject +, Partner -",1,"Trial_8",12,"Front","Front","Back","Front","Front","None"
"Becky","Namukisa","Subject -, Partner +",3,"Filler_PC1",12,"Front",NA,"Front",NA,NA,"Front"
"Becky","Namukisa","Subject -, Partner +",3,"Filler_PC2",12,"Back",NA,"Back",NA,NA,"Back"
"Becky","Namukisa","Subject -, Partner +",3,"Filler_PC3",12,"Front",NA,"Front",NA,NA,"Front"
"Becky","Namukisa","Subject -, Partner +",3,"Filler_PC4",12,"Back",NA,"Back",NA,NA,"Back"
"Becky","Namukisa","Subject -, Partner +",3,"Filler_PE1",12,"Back",NA,"Back","Back",NA,"Back"
"Becky","Namukisa","Subject -, Partner +",3,"Filler_PE2",12,"Front",NA,"Front","Front",NA,"Front"
"Becky","Namukisa","Subject -, Partner +",3,"Filler_PE3",12,"Back",NA,"Back","Back",NA,"Back"
"Becky","Namukisa","Subject -, Partner +",3,"Filler_PE4",12,"Front",NA,"Front","Front",NA,"Front"
"Becky","Namukisa","Subject -, Partner +",3,"Trial_1",12,"Front","Back","Front","Back","None","Front"
"Becky","Namukisa","Subject -, Partner +",3,"Trial_2",12,"Back","Front","Back","Back","None","Back"
"Becky","Namukisa","Subject -, Partner +",3,"Trial_3",12,"Back","Front","Back","Front","None","Back"
"Becky","Namukisa","Subject -, Partner +",3,"Trial_4",12,"Front","Back","Front","Back","None","Front"
"Becky","Namukisa","Subject -, Partner +",3,"Trial_5",12,"Front","Back","Front","Back","None","Front"
"Becky","Namukisa","Subject -, Partner +",3,"Trial_6",12,"Back","Front","Back","Back","None","Back"
"Becky","Namukisa","Subject -, Partner +",3,"Trial_7",12,"Back","Front","Back","Back","None","Back"
"Becky","Namukisa","Subject -, Partner +",3,"Trial_8",12,"Back","Front","Back","Front","None","Back"
"Becky","Namukisa","Subject -, Partner -",2,"Filler_PC1",12,"Back",NA,"Back",NA,NA,"Back"
"Becky","Namukisa","Subject -, Partner -",2,"Filler_PC2",12,"Back",NA,"Back",NA,NA,"Back"
"Becky","Namukisa","Subject -, Partner -",2,"Filler_PC3",12,"Back",NA,"Back",NA,NA,"Back"
"Becky","Namukisa","Subject -, Partner -",2,"Filler_PC4",12,"Back",NA,"Back",NA,NA,"Back"
"Becky","Namukisa","Subject -, Partner -",2,"Filler_PE1",12,"Front",NA,"Front","Front",NA,"Front"
"Becky","Namukisa","Subject -, Partner -",2,"Filler_PE2",12,"Back",NA,"Back","Back",NA,"Back"
"Becky","Namukisa","Subject -, Partner -",2,"Filler_PE3",12,"Front",NA,"Front","Front",NA,"Front"
"Becky","Namukisa","Subject -, Partner -",2,"Filler_PE4",12,"Back",NA,"Back","Back",NA,"Back"
"Becky","Namukisa","Subject -, Partner -",2,"Trial_1",12,"Front","Back","Front","Back","None","None"
"Becky","Namukisa","Subject -, Partner -",2,"Trial_2",12,NA,"Front","Back","Front","None","None"
"Becky","Namukisa","Subject -, Partner -",2,"Trial_3",12,"Front","Back","Front","Back","None","None"
"Becky","Namukisa","Subject -, Partner -",2,"Trial_4",12,NA,"Back","Front","Back","None","None"
"Becky","Namukisa","Subject -, Partner -",2,"Trial_5",12,NA,"Front","Back","Front","None","None"
"Becky","Namukisa","Subject -, Partner -",2,"Trial_6",12,"Front","Back","Front","Back","None","None"
"Becky","Namukisa","Subject -, Partner -",2,"Trial_7",12,NA,"Back","Front","Back","None","None"
"Becky","Namukisa","Subject -, Partner -",2,"Trial_8",12,"Front","Back","Front","Back","None","None"
"Billi","Namukisa","Subject +, Partner +",3,"Filler_PC1",6,"Front",NA,"Front",NA,NA,"Front"
"Billi","Namukisa","Subject +, Partner +",3,"Filler_PC2",6,"Back",NA,"Back",NA,NA,"Back"
"Billi","Namukisa","Subject +, Partner +",3,"Filler_PC3",6,"Front",NA,"Front",NA,NA,"Front"
"Billi","Namukisa","Subject +, Partner +",3,"Filler_PC4",6,"Back",NA,"Back",NA,NA,"Back"
"Billi","Namukisa","Subject +, Partner +",3,"Filler_PE1",6,"Back",NA,"Back","Back",NA,"Back"
"Billi","Namukisa","Subject +, Partner +",3,"Filler_PE2",6,"Front",NA,"Front","Back",NA,"Front"
"Billi","Namukisa","Subject +, Partner +",3,"Filler_PE3",6,"Back",NA,"Back","Back",NA,"Back"
"Billi","Namukisa","Subject +, Partner +",3,"Filler_PE4",6,"Front",NA,"Front","Back",NA,"Front"
"Billi","Namukisa","Subject +, Partner +",3,"Trial_1",6,"Front","Front","Back","Front","Front","Back"
"Billi","Namukisa","Subject +, Partner +",3,"Trial_2",6,"Front","Front","Back","Front","Front","Back"
"Billi","Namukisa","Subject +, Partner +",3,"Trial_3",6,"Back","Back","Front","Back","Back","Front"
"Billi","Namukisa","Subject +, Partner +",3,"Trial_4",6,"Back","Back","Front","Back","Back","Front"
"Billi","Namukisa","Subject +, Partner +",3,"Trial_5",6,"Front","Front","Back","Front","Front","Back"
"Billi","Namukisa","Subject +, Partner +",3,"Trial_6",6,"Back","Back","Front","Back","Back","Front"
"Billi","Namukisa","Subject +, Partner +",3,"Trial_7",6,"Back","Back","Front","Back","Back","Front"
"Billi","Namukisa","Subject +, Partner +",3,"Trial_8",6,"Front","Front","Back","Front","Front","Back"
"Billi","Namukisa","Subject +, Partner -",4,"Filler_PC1",6,"Back",NA,"Back",NA,NA,"Back"
"Billi","Namukisa","Subject +, Partner -",4,"Filler_PC2",6,"Back",NA,"Back",NA,NA,"Back"
"Billi","Namukisa","Subject +, Partner -",4,"Filler_PC3",6,"Back",NA,"Back",NA,NA,"Back"
"Billi","Namukisa","Subject +, Partner -",4,"Filler_PC4",6,"Front",NA,"Front",NA,NA,"Front"
"Billi","Namukisa","Subject +, Partner -",4,"Filler_PE1",6,"Front",NA,"Front","Front",NA,"Front"
"Billi","Namukisa","Subject +, Partner -",4,"Filler_PE2",6,"Front",NA,"Front","Back",NA,"Front"
"Billi","Namukisa","Subject +, Partner -",4,"Filler_PE3",6,"Front",NA,"Front","Front",NA,"Front"
"Billi","Namukisa","Subject +, Partner -",4,"Filler_PE4",6,"Front",NA,"Front","Front",NA,"Front"
"Billi","Namukisa","Subject +, Partner -",4,"Trial_1",6,"Back","Back","Front","Back","Back","None"
"Billi","Namukisa","Subject +, Partner -",4,"Trial_2",6,"Back","Back","Front","Back","Back","None"
"Billi","Namukisa","Subject +, Partner -",4,"Trial_3",6,"Front","Front","Back","Front","Front","None"
"Billi","Namukisa","Subject +, Partner -",4,"Trial_4",6,"Front","Front","Back","Front","Front","None"
"Billi","Namukisa","Subject +, Partner -",4,"Trial_5",6,"Back","Front","Back","Front","Back","None"
"Billi","Namukisa","Subject +, Partner -",4,"Trial_6",6,"Front","Front","Back","Front","Front","None"
"Billi","Namukisa","Subject +, Partner -",4,"Trial_7",6,"Front","Front","Back","Front","Front","None"
"Billi","Namukisa","Subject +, Partner -",4,"Trial_8",6,"Back","Back","Front","Back","Back","None"
"Billi","Namukisa","Subject -, Partner +",1,"Filler_PC1",6,"Front",NA,"Front",NA,NA,"Front"
"Billi","Namukisa","Subject -, Partner +",1,"Filler_PC2",6,"Back",NA,"Back",NA,NA,"Back"
"Billi","Namukisa","Subject -, Partner +",1,"Filler_PC3",6,"Front",NA,"Front",NA,NA,"Front"
"Billi","Namukisa","Subject -, Partner +",1,"Filler_PC4",6,"Back",NA,"Back",NA,NA,"Back"
"Billi","Namukisa","Subject -, Partner +",1,"Filler_PE1",6,"Back",NA,"Back","Back",NA,"Back"
"Billi","Namukisa","Subject -, Partner +",1,"Filler_PE2",6,"Front",NA,"Front","Back",NA,"Front"
"Billi","Namukisa","Subject -, Partner +",1,"Filler_PE3",6,"Back",NA,"Back","Back",NA,"Back"
"Billi","Namukisa","Subject -, Partner +",1,"Filler_PE4",6,"Front",NA,"Front","Back",NA,"Front"
"Billi","Namukisa","Subject -, Partner +",1,"Trial_1",6,"Front","Back","Front","Back","None","Front"
"Billi","Namukisa","Subject -, Partner +",1,"Trial_2",6,"Front","Back","Front","Back","None","Front"
"Billi","Namukisa","Subject -, Partner +",1,"Trial_3",6,"Back","Front","Back","Front","None","Back"
"Billi","Namukisa","Subject -, Partner +",1,"Trial_4",6,"Front","Back","Front","Back","None","Front"
"Billi","Namukisa","Subject -, Partner +",1,"Trial_5",6,"Front","Back","Front","Back","None","Front"
"Billi","Namukisa","Subject -, Partner +",1,"Trial_6",6,"Front","Back","Front","Back","None","Front"
"Billi","Namukisa","Subject -, Partner +",1,"Trial_7",6,"Back","Front","Back","Back","None","Back"
"Billi","Namukisa","Subject -, Partner +",1,"Trial_8",6,"Front","Back","Front","Back","None","Front"
"Billi","Namukisa","Subject -, Partner -",2,"Filler_PC1",6,"Back",NA,"Back",NA,NA,"Back"
"Billi","Namukisa","Subject -, Partner -",2,"Filler_PC2",6,"Back",NA,"Back",NA,NA,"Back"
"Billi","Namukisa","Subject -, Partner -",2,"Filler_PC3",6,"Back",NA,"Back",NA,NA,"Back"
"Billi","Namukisa","Subject -, Partner -",2,"Filler_PC4",6,"Front",NA,"Front",NA,NA,"Front"
"Billi","Namukisa","Subject -, Partner -",2,"Filler_PE1",6,"Front",NA,"Front","Front",NA,"Front"
"Billi","Namukisa","Subject -, Partner -",2,"Filler_PE2",6,"Back",NA,"Back","Back",NA,"Back"
"Billi","Namukisa","Subject -, Partner -",2,"Filler_PE3",6,"Front",NA,"Front","Back",NA,"Front"
"Billi","Namukisa","Subject -, Partner -",2,"Filler_PE4",6,"Back",NA,"Back",NA,NA,"Back"
"Billi","Namukisa","Subject -, Partner -",2,"Trial_1",6,"Front","Front","Back","Back","None","None"
"Billi","Namukisa","Subject -, Partner -",2,"Trial_2",6,NA,"Back","Front","Back","None","None"
"Billi","Namukisa","Subject -, Partner -",2,"Trial_3",6,"Front","Back","Front","Back","None","None"
"Billi","Namukisa","Subject -, Partner -",2,"Trial_4",6,NA,"Back","Front","Back","None","None"
"Billi","Namukisa","Subject -, Partner -",2,"Trial_5",6,"Front","Front","Back","Back","None","None"
"Billi","Namukisa","Subject -, Partner -",2,"Trial_6",6,NA,"Back","Front","Back","None","None"
"Billi","Namukisa","Subject -, Partner -",2,"Trial_7",6,NA,"Back","Front","Back","None","None"
"Billi","Namukisa","Subject -, Partner -",2,"Trial_8",6,"Front","Back","Front","Back","None","None"
"Bwambale","Namukisa","Subject +, Partner +",1,"Filler_PC1",5,"Front",NA,"Front",NA,NA,"Front"
"Bwambale","Namukisa","Subject +, Partner +",1,"Filler_PC2",5,"Back",NA,"Back",NA,NA,"Back"
"Bwambale","Namukisa","Subject +, Partner +",1,"Filler_PC3",5,"Front",NA,"Front",NA,NA,"Front"
